compra,clase
potes de lino vera protasan pomada protectora,4
regalo para matrimonio juego de sartenes,3
galleta mckay mini,0
cepillo de limpieza hogar,3
salida movilización colectivo,5
recuerdos y souvenirs especifique gorro,2
par de calcetas de hombre bipack de cobre,2
salchichas sureña en sachet,0
llamada a casa desde el puerto de valparaiso,6
cómoda nueva,3
abridor de latas manual,3
gasolina 95 octanos splomo,5
pasaje estudiante urbano ontercomunal,5
camiseta 1° capa hombre,2
pan marraqueta sin envasar,0
galletas marmeladas,0
período de hospitalizacion de enero a junio operación a la vista quimoterapia resonancia magnética insumos dias en cama examenes,4
par de lentes opticos marco mujer,4
terremoto,1
poleras ropa interior en total 10 prendas mujer adulta,2
sicadol 500mg 20 comprimidos,4
morrones rojos frescos granel,0
leche de coco thai,0
olla 20 cm antiadherente,3
bonos endocrinologo y ginecólogo,4
pan árabe,0
pasaje stgo quilpue,5
fleet enema fcia belén,4
remedio para el dolor de cabeza,4
pasajes malloco ruta 78,5
yogurcereal c cuchara,0
micro concón viña sol y mar,5
poroto verde congelado 350 gr,0
jugos en caja líquido,0
posta negra especial vacuno,0
pan especial baguette a granel,0
pisco sour 1 lt 16°,1
esquinero madera,3
bus particular ida y vuelta licanray,5
pastel de pina,0
galleton de cereal,0
ecografia estomacal,4
cama 2 plazas c colchón,3
baby shower ropa bebe y pañales de regalo,2
valsartan 80 m 28 comp,4
bermudas short hombre,2
gynostat 20 comprimidos descuento,4
trago cocktail,1
casas pizza corrugado delivery,3
lisoform aerosol,3
paquete fosforos 6 u,3
vaso antiderrame para 300 ml,3
caja tornillos madera,3
juego baño para set para cubrir la tapa del baño y alfombra,3
operación de hernia umbilical,4
chequeo médico general examenes don jaime,4
par de botín mujer,2
vino 700 cc cabernet,1
pasajes bus urbano movilización colectiva,5
operación hemorroides internas y externas trombosadas,4
lavaloza envasado líquido,3
polera de vestir varón,2
mantención general camioneta,5
peaje a santiago,5
nastizol comprimido,4
mayonesa doypack,0
mondrian antidepresivo,4
trabavolante para vehículo,5
soporte para carga y equipaje cúpula,5
cautín 30 w pta redonda,3
cigarros belmont light 10 und,1
hipogucin comp x 1 gramo,4
cinta negra tela 10 mts,2
celular prepago10000 pesos en minutos,6
bolsa reutikizable,3
leche en caja soprole,0
vaso licuadora,3
gorros pack 12,2
venosa en adultos examen,4
calceta de hombre,2
conjunto pantalón y poleron niño,2
sobre sopa pollo fideos,0
pasajes a dinamarca,5
cerradura,3
limpia zapatos,2
bono consulta gninecologica,4
chalas mujer sin taco,2
yerbas medicinales,0
brocha 2,3
canasto bicicleta,5
pasaje en micro ida y vuelta a placilla directo,5
galletas dulces sin relleno a granel,0
trutro ala pavo,0
peto mujer,2
metros cubrepiso,3
pasajes minibus ida vuelta valdivia niebla,5
energética mr big,0
huesillos fancy envasados,0
te 100 bolsas en caja,0
freno para bicilcetas,5
par de zapatillas deportivas skecherl,2
nexium 20 mg comp,4
cubrecamas cannon,3
buses interurbanos pasaje de idasantiagoloncuna,5
cebolla fresca,0
chicle trident,0
galletas dulces srelleno,0
bebida gaseosa limón soda,0
jugo de piña líquido,0
vienesas pf 5 unidades,0
medicamentos fluoxetina antidepresivo,4
pantuflas de mujer,2
ropa colegio 1 polera short de hombre,2
crema para botín zapato,3
recarga telefónica hija emilia,6
cera k stevia,0
zapallo italiano granel fresco,0
figura decorativa,3
fideos de sopa secos,0
taxi desde metro zapadores,5
consulta fonaudiologo,4
jugo de manzana nat,0
detergente rinso en polvo para ropa,3
pap desechable bebida gaseosa,0
incluye mano de obra y repuestos,5
bono isapre medicina gral,4
bencina viaje vladivia coñaripe,5
cholgas frescas,0
sweaters manga larga mujer,2
remedio bosolvon para flemas jarabe,4
de sofritos frutos del maipo congelado,0
reparación pantalla de celular,6
cajetilla cigarro de 10u pallamall,1
arrollado lomo,0
bebidas sprite fanta,0
lasaña precocido envasada,0
ciruelas secas,0
virutilla fina dorada chica para limpieza de ollas,3
6 cajas cefalmin,4
infiltración lumbar,4
kem piña bebida,0
consulta con kinesiologo,4
ají cacho cabra frescos,0
pila cebolla,0
tarro papas fritas stax,0
aurora de chile terminal pasaje,5
prótesis dental puente,4
vino tinto espaldares del maipo,1
taxi calle,5
tira de paracetamol 10 und,4
vela luminosa supe,3
pares de chalas niña,2
salbutazol dilatador de las vias respiratorias,4
tapsin noche,4
chupalla de mimbre,2
scanner cerebral adulto,4
locomoción ida a trabajar,5
1 inhalador bromex 25125 para asma,4
spray aromatizante,3
apquete acelgas frescas,0
spray líquido arañas insecticida,3
taxi trabajo domicilio,5
consulta médica artritis,4
cuello tejido,2
repuesto para automóvil bandejas de motor,5
ropa de vestir,2
sostén bipack mujer,2
leche chica con sabor,0
calentador de agua thomas,3
30 lt combustible,5
chalas mujer adulta,2
vehículo auto furgón,5
suavizante envasado,3
buzo niño1 poleron3 calcetines,2
eco dopler a pierna,4
pan hallulla granel,0
estante metal,3
medicamento farmacia,4
botines gris mujer,2
repuesto regador automático,3
jugo líquido sabor piña lider,0
raid insecticida spray,3
consulta particular reumatologa melina,4
jamonada cerdo laminado,0
sopaipillas para freír,0
medicamento level up,4
bobina auto,5
pasajes padre hurtado stgo,5
colectivo lo miranda rgua,5
zapatillas lona niña,2
helado cornetto clásico 120 ml,0
examenes varios cáncer,4
paquete de velas doña gaby,3
drive mediano,3
toallas nova papel absorvente,3
chandele crema,0
pasajes para ir a la iglesia massiel,5
examen de prevención influenza,4
chaqueta de jeans hombre,2
bic carga tarjeta bip,5
mantención calefont mano de obra,3
trimebutina medicamento,4
jugo watts líquido,0
medicamento para acné piplex,4
paquete galletas tuareg,0
arroz inflado natur 20 grs,0
pisco sour preparado,1
detergente para ropa líquido bidon,3
tarro milo,0
pack fideos,0
lents de contacto,4
consulta médica ginecólogo bono,4
jasec lavaseco blazer,2
protectores telefonos,6
cera en crema bolsa,3
sabana infantil,3
camiseta y short de fútbol,2
materiales tubo pvc 6 metros cu,3
tijera singer,3
su geo pantalón mujer,2
ida a la playa pasaje micro,5
4agua soda de 1 ly,0
vino tinto 120,1
paracetamol 500 mg antipirético,4
terapia trepaga 1 sesión,4
acemuk jarabe para la tos,4
jarabe de ambroxol,4
jeep nissan 4x2 full,5
chaqueta tipo parka mujer,2
ipfone 6 plus equipo,6
mantequilla 125 grs,0
botellas en cloro gel,3
pastilleros para estanque de baño pack 3 unidades,3
servicio jardinería podar desmacetar,3
bujias de vehículo,5
vino rhin carmen,1
toalla mini abolengo,3
tapsin día caja,4
queques magdalenas envasadas,0
jugo en polvo frutos verdes,0
viaje casa a clases,5
consulta oftalomolgia,4
cable hdmi,3
caja supositorios antipireticos bebe,4
zapatos bototos hombre caterpillar,2
botella pisco,1
pasaje est central p h,5
pan once,0
pimentón en polvo,0
pastel strudel c relleno,0
toalla de cocina extra 2 rollos papel,3
refresh fusión colirio,4
coca cola desechable bebida gaseosa,0
camisas hombe,2
pantalla mesa cuero,3
crema para rosácea,4
regalos pijamas 2 mujer 1 hombre,2
examen de sangre y orina electrocardiograma radiografía al tórax,4
tubo para cortin 12 mm x 15 mt,3
carga bip ilegible,5
rollos bolsa de basura,3
taxi estación a casa familiares,5
batería max bat ultra heavyduti seasco 146 voltios,5
consulta al odontopediatra,4
leche corpole líquido,0
recarga en línea movistar,6
paño esponja absorvente de cocina,3
picaforte o cerrojo,3
rollo quita pelo,3
camisetas de mujer,2
zapatilla nike liteforce,2
tratamiento conducto limpieza y examenes,4
pasajes ida y vuelta santiagobulnes viaje por trámite,5
pago por reparación de calzado,2
cloro para color,3
clonex 050 mg sist nervioso,4
gotas para depresión celenum,4
examen protombina,4
lavadora automática lg de 11 kg,3
bebidas 2 botellas de 3 litros,0
servilletas elite paquete,3
de bebida cocacola,0
bebida de áloe sin gas,0
brisa hawaiana aerosol automático,3
sprite zero,0
1 display de vasos vidrio,3
1 ropero 2 veladores,3
vacuna inmunologica,4
canister de vidrio,3
sesión de kinesiologo,4
pasaje a auckland nz,5
harina selecta con polvos hornear,0
capa pañuelo,2
esponja para loza x 3 und,3
ecotomografia al estómago,4
cif gel,3
folisantin 5 mg 30 comp,4
poleras ropa interior en total 10 prendas mujer adulta,2
cloro gel en crema,3
poloera de mujer,2
limpiador en crema con cloro,3
garbanzos sin piel envasado,0
agua ademineralizada 5x5 lts,5
jugo polvo 35 gr,0
ropa interior dama sostenes calzón,2
caja de fósforo copihue g,3
pantalones para lactantes,2
limpiador crema cif 250 ml,3
carne vacuno posta paleta bandeja,0
terapia kinesiologica 10 sesiones,4
pastel dulce yoghurt,0
caja vino blanco 500 cc,1
salchichas de cerdo sureña,0
centro aero puerto santiago,5
paquete cigarros,1
caja de caldos maggi,0
mi frut,0
jugo zuko polvo sobre,0
pan especial crocata,0
pasaje en bus a san antonio,5
poleras de vestir de dama,2
harina envasada con polvos de hornear,0
ambulancia de control,4
calza pnaty,2
pack salsa de tomate,0
jarabe bropavol tos,4
12 bebida,0
juego néctar 200 ml,0
endodoncia tratamiento conducto,4
desodorante poett 360 grs,3
cervezas de 15 lt,1
cerrojo p puerta,3
velas súper gigantes corrientes,3
unidades de fosforos,3
chalas sandalias mujer,2
pan a granel corriente surtido,0
minipimer para cocinar,3
mantequilla 500grs,0
vino pipe tinto,1
pack hervidor y juguera,3
podologia a domicilio,4
recuerdos y souvenirs especifique sombrero,2
mermelada mora watts,0
servilletas nova servilleta de papel,3
sulix remedio próstata,4
amoblado del departamento,3
jardinera verduras congeladas,0
sofá cama,3
traje de baño de niño,2
instalación brackets superior e inferior,4
la serena pasajes ida y vuelta,5
perfil bioquímico tabla 3,4
crackelet galleta salada,0
atorvast controla el apetito,4
galleta chamx 20,0
sopa costilla fideo sobre,0
afilador cuchillo eléctrico,3
atorvastatina 30 mg,4
prietas receta del chef,0
anticonceptivos acotol por tratamiento,4
pf rust sal mar 200,0
salchichas sin piel tradicional 250 grs,0
automóvil daewoo lanus 2002,5
cecina salame ahumado granel,0
darmas ca d duoterapia lab chile,4
pack de bolsa de basura gigante 100 und,3
queso alvita en pote,0
arreglo caja de cambio camioneta,5
jamón de cerdo colonial,0
aroma terapia producto swiss just,3
sueters niño t 8,2
hierbas 20 bolsitas manzanilla,0
paquetes galletas dulces,0
calcetines pantalón camisa hombre,2
mondadientes 100 unidades,3
botella soya light,0
embriague repuesto,5
fresh mel garganta,4
ruedas para camioneta,5
digoxina medicamento para insuficiencia cardiaca,4
escencia vainilla,0
bebida pepsi ginger orange,0
tarjeta bip precio de plástico,5
parrilla oster,3
ropa infantil general,2
contenedor de vidrio,3
revisión técnica,5
chaqueta polar mujer,2
inhalador neumocort 200 mcg x 200 dosis para la alergia,4
soporte motor,5
servilletas bajo tierra,3
pasajes en tren,5
pares de zapatos taco alto mujer,2
médico nefrologo,4
cuenta hopitalizacion hospital clínico,4
montón de maní salado,0
letrozol inhibidor del cáncer,4
carga teléfono fijo prepago,6
locomoción y vuelta,5
toallas de manos,3
taxi uber vuelta,5
perilla cerámica,3
cómoda para bebe lactante,3
galleta salada crack,0
locomoción colectiva colectivo,5
pantalón de colegio holley gps,2
hamburguesas polo,0
gata auto,5
toalla papel apolengo,3
compra tornillos pernos,3
arroz bolsa 2 unid,0
tratamiento conducto tapadura molar,4
te de menta,0
mantención alineamiento frenos etc,5
buzos completos niño y niña,2
paquete fideo tallarines n°5,0
pasaje ida y vuelta a reg metr,5
pantalón mujer chaleco y polera mujer,2
virutilla ollas,3
compra vinos matrimonio,1
aceite de frag anch,0
lavaloza frutos 500 cc,3
paquete porotos granados,0
frasco vidrio redondo 27 cm,3
chalas buble gummers niño,2
adornos de yeso,3
chocolate con almendras barra 2 und de 140 grs,0
reglita conexión eléctrica,3
inhalador salbutamol medicamento para el asma de mascota,4
pqte bolsas basura,3
pantalón hombre jeans,2
cigarrillos cajetilla paúl man,1
aceite para cocina,0
ropa niña teñida completa,2
filtro de aceite para automóvil,5
caja de medicamento losartan 50mg,4
atún san jose conserva,0
helado postre san francisco casatta,0
1 pack cerveza corona,1
1 platanos a granel,0
reparación califon mano de obra ya que solo arreglo no fue necesario comprar alguna pieza,3
limpeza en seco plumón 2 plazas,2
medicamentos enfermedad renal y alergias,4
limpia piscina,5
champiñones enteros blancos frescos bandeja,0
pan toscano especial granel,0
pasaje autopista santiago,5
comprimidos ácido mefenamico,4
cerveza artesanal ale,1
taxi a estación,5
papas fritas kryzpo queso,0
recarga celular movistar,6
pollo congelado filetito de pechuga,0
cerco acna 16 38 mm,3
cambio de batería del vehículo,5
termin al de dirección,5
d glade re h c 42 m,3
viaje curavavi vuelta,5
pechuga,0
nastizol para resfrío en comprimidos 500 mg,4
cajetilla cigarrillo pall mall 20,1
atención traumatologica urgencia,4
zapatos escolares zapatillas deportivas hombre,2
alverja en conserva,0
trutros de pollo,0
medicamento pastillas pgra masc shcku wp ab,4
vasos sit 6,3
wc blanco con asiento,3
lentes opticos tabla 4,4
vestidos enteritos dama,2
5 cajas aspirina 100 mg para corazón,4
huevos extra color,0
bolsa de bombillas,3
aceite,0
botellas vinos tinto 750 cc,1
bion allergo pediatrico vitaminas,4
1 yogurt zucaritas,0
cajetilla 20 unidas,1
dentista frenillos,4
pago abono buzo escolar polera deportiva polera uniforme,2
paqeutes de palos de brocheta,3
berlin con relleno,0
vaina,0
taxi uber yungay peñalolen,5
pasaje traslado en radio taxi,5
porotos granados saco,0
paquetes de 6 chicles cu marca trident,0
harina con polvos de hornear 2undx1 kg,0
plan odontólogo revisión,4
recuerdos y souvenirs especifique llaveros y adornos,3
máquina de coser y bordadora,3
bono consulta cardiólogo,4
prueba psicológica,4
bandas aspiración y guantes para aseo,4
queso añejo mantecoso,0
radiografía pieza dental n°2,4
transporte pase carga bip,5
par zapato jovencita mujer,2
estacionamiento 0147 min,5
pasteles de vainilla,0
vital sgas,0
estacionamiento 35 minutos,5
pepino en otra boleta,0
pack smirnoff vodka,1
copa redonda smal,3
gasolina 93,5
broca concreto 8mm,3
pares zapatillas lona niño,2
flete traslado carga,5
fideos macarroni pastas secas,0
1 und amoxicilina 500 21 unidades1 und paracetamol 500 16 unidades,4
bebisda gaseosa,0
par zapatilla deportiva mujer,2
pasaje msano,5
tratamiento frenillos,4
surtido de mariscos conserva,0
naranjas malla,0
pasaje curauma viña,5
diclofenaco comprimidos 50 mg,4
snack mix envasado,0
agujas bebe,4
trozo de carne punta paleta vacuno,0
kg te ceylan a granel,0
reparación lavadora automática,3
chañas mujer,2
cajas tornillos,3
set vasos altos,3
locomoción pasaje micro hospicioiquique,5
desinfectante lysoform líquido,3
chocollate milk,0
queso camendeet,0
bicicleta paseo,5
pilas chicos,3
chalas para playa,2
ensalada de papas cocidas en bolsa,0
pomada médica triamcinolona,4
bebida light,0
cajas domperidona 10 mg,4
golillas plana puerta,3
esponja dorada para cocina,3
envío carta a concepción,6
7806540006877 tp acuenta,3
dentista tratamiento de conducto,4
pepinos dill agridulces,0
poleras manga larga niñz,2
uva negra,0
par de zapatillas mujer nueva,2
gloro gel,3
caja huevo,0
emugloss pomada,4
bono a médico general,4
faja embarazo,4
bebida 25lts cocacola normal,0
paño multiuso de limpieza,3
poleras moto,2
toallas papel lider,3
obsturacion molar,4
remedio eutirox tiroidex comprimidos 175 mg,4
consulta psicologa,4
chaqueta mujer,2
hobillos de lana,2
display pulpa durazno,0
vino clos de pirque moscatel,1
vaso de silicona para acampar,3
recarga celular 1 sra margarita,6
examen ecografia mamaria,4
pack tortillas,0
pechuga pavo asada envasada,0
bandeja de champiñones blancos,0
queso gouda rodajas,0
crema del impieza,3
postre de leche y crema sabor lúcuma,0
pasajes locales quilpue belloto,5
cobertor de 2 plazas,3
taxi movilización ida y vuelta,5
vestidos de niña nuevos,2
pan cte a granel,0
jugo watts 15 lt,0
internet pago,6
poleras colegio para niño,2
caja de nastizol,4
queso light colun,0
zapatilla hombre par,2
fideos spaguetti integral secos,0
airwick mar azul,3
dias de cama por parto incluye 3 comidas y atención obstetra y medicamentos,4
saca corcho eléctrico,3
afinamiento mano de obra,5
pares ropa interior hombre,2
juego de comedor 1 mesa y 6 sillas,3
pasaje interurbano por trabajo,5
viña rita 120 merlot,1
tomate 1° a granel,0
peto muejr,2
calcetines media corta para pantalón de mujer,2
lámpara con anillo blanco,3
muebles estantes para las plantas,3
sal lavavajilla ahumador sarro,3
pallmall 10 cigarros,1
bombillas flexibles plasticos,3
pensionado en hospital por 3 dias,4
nectarin plátano granel,0
limpiador co,3
vitamina c gnc 1000 mg 100 u,4
galletas bono o bon cada paquete 659,0
actron dolor de espalda mio,4
pantalón corto muejr,2
cuna para bebe,3
aceite p generador de 2 lt,5
omo multiaccion caja,3
de pan corriente colisa,0
serviio de radio taxi,5
queso crema tripa 110 gr,0
calzones mujer 5 mil cu,2
omo op op,3
pantalón hombre descuento 20000,2
leche saborizada 200 ml tetrapack,0
mano de obra calefont,3
echinacea producto natural en gotas 30 ml,4
cambio chapas cocina,3
mineral agua c gas,0
osito infantil vestuario bebe,2
reacrga bip,5
pantalones de buzo hombre adulto,2
lentes de ojos,4
examen de cadera,4
marilow 28 comprimido,4
por compra remedio natural gea ko lon,4
caja de chuqui click blanca,3
queso chanco granel,0
pasaje hospital,5
spagueti pasta seca envasada,0
secadora d eropa,3
pack calcetín mujer,2
cereal milo,0
coca cola zero 175 lt,0
iphone modelo 6 sin minutos,6
controles frenillos,4
aceitunas súper extra,0
embudo de plástico,3
cobertor saco de dormir,3
auto hyundai tucson 2008,5
radiografía senos paranasales,4
consulta medicina infantil,4
perebron jarabe 100,4
patitas ropa bebe,2
pimentón rojo,0
ginecólogo tratamiento,4
gran tinto,1
galleta de vainilla paquete,0
plato de te,3
sulfato ferrso 30 comp,4
unidades pan,0
smart phone solo equipo,6
bono consulta médica especialidades,4
mentholatum en lata 2x12grs,4
confección de pantalón de tela mujer,2
malva choc 250 grs,0
plumones 1 12 plaza,3
trapero lider,3
remedio eutirox compr tratamiento tiroides,4
par de zapatillas 3 de hombre 2 de mujer,2
zapatos vestir hombre,2
cambio de pieza de embriague,5
toalla de papel 2 rollos,3
plan de celular,6
cereal trix dulce,0
camiseta mujer algodón,2
psje bus pasaje,5
campana eléctrica para cocina,3
toalla desinfectante 35 und,3
de leche blanca soprole descremada,0
ampolleta de vehículo,5
soldadura manubrio bicicleta,5
uva verde sin pepa,0
locomoción al colegio laico ida y vuelta micro,5
jgo cubierto,3
pago colectivo urbano,5
lata cocacola zero bebida gaseosa,0
encocadas envasadas,0
bolsa de pepinillos,0
top greta,2
lavaloza de limón,3
cigarrillos,1
bicicleta aro,5
camisas para hobre,2
ibuprofeno 60 mg,4
vestidos chalecos calcetines bodies del bebe,2
jamón de pavo ahumado granel,0
extracción de 1 molar infectado con cirugía,4
pasaje micro bip vuelta,5
ventilador de pedestal,3
yogurth batido tradicional,0
alexia antialergico descuento,4
de zapatos de hombre,2
pate jamón pimiento,0
fuentes plástico preparar alimentos,3
calzado mujer sandalia,2
pack calcetines deportivos 3 niño,2
calceta dama,2
genacol colágeno hidrolizado 90 caps,4
carga de bencina 95,5
pasajes locomoción colectiva interurbana,5
retinografia ambos ojos,4
consulta médica ginecoobstetra,4
laminas jamonada de pavo,0
ecografia brazo derecho,4
coctelitos de merluza congelada,0
yogurt lig durazno,0
pasta untable ave,0
carne sobrecostilla vacuno congelada,0
regalo navidad jeans,2
belmont 20 un,1
brochetas sabu 12 cms,3
pasaje valpo viña,5
mueble cocina guarda mmercaderia dos puertas,3
aceite para motor y filtro sin mano de obra,5
deline al 28,0
cigarros cajetilla 10,1
colectivo coquimbo a serena pasaje,5
pares de buzo de niño,2
bandeja antiadherente,3
ácido mefenamicos tabletas,4
paquetes galletas biofibras,0
huevo santa elvira 6 unidades,0
consulta m general,4
retén rueda exterior,5
tricimax 2 medicamento,4
carga de taejeta bip,5
remedio losartan 50 mg,4
sweater regalo hombre,2
tarros choritos natural,0
pack nova clásica papel absorbente,3
recarga del móvil,6
dulces mango manjar,0
pasaje avión santiago,5
calcetas 6 pares,2
oantalon de hombre,2
puré de papas dehidratado,0
neumaticos aro 14 camioneta,5
ideal pan de molde blanco bolsa envasado,0
servilletas cuadradas sin diseño de papel,3
discos de embrague,5
consulta médica de urgencias para hija,4
chaqueta de jean hombre,2
empresas dhinos pasaje,5
polividona yodada 30 ml,4
clorox líquido,3
vital sin gas,0
cable micro usb,6
ropa mujer niña,2
cigarros en cajetilla 20 un,1
pasaje a concepción ínter regional,5
medicamento idon 10 mg,4
helado americano,0
cinta de enmascarar,3
citrus pun,3
set de lijas trum peter maquetismo,3
caja de gasolina 95 octanos,5
jardinera hombre,2
paquete de rabanitos,0
radio taxis urbano,5
barra de chocolate,0
pasaje metro valparaiso metro estación bellavista estación puerto,5
pastilla lysoform wc 45 grs,3
taxi desde persa teniente cruz a p eswards,5
chalecos cu 8990 mujer hilo,2
ecotime stick 14 w ampolleta,3
ron an,1
remedios dofitex antialergico,4
galletas rellenas con crema,0
par zapatillas outdoor hombre,2
tabla 6 blusa de mujer,2
1 frasco gotero de lagrimas artificiales 20 ml,4
pasaje colectivo departamento a portal,5
pasajes bus valdivia osorno,5
tela para costura 1140 mts,2
pares lentes contacto 12 pares para año,4
pasajes al llano,5
gasolina 93 octanos mitad del monto,5
lavadora 8 kg somela,3
par pantalones varón,2
legging infantil,2
2 estudio histopatologico corriente de biopsa,4
2 kilos lentejas,0
pasaje directo niña,5
hervidor eléctrico 18 lt,3
1 consulta med general,4
brocoli en bandeja,0
celebra 200 mg 10 cap,4
malta morenita 1 lt,1
traje de vestir hombre,2
herm 900 ml,3
bebida de dos litro,0
colados sabor melocotón,0
galleta dulces srelleno,0
cajetilla x 20 cigarros pall mall azul,1
botella aceite,0
pasajes stgo,5
transporte aeropuerto uber,5
helados cassata,0
bb short rack,2
guante látex multiuso,3
arvejas congeladas bolsita,0
lansoprazol 30 mg 30 comprimidos,4
salbutamol inhalador para tratar bronquitis infantil,4
pastel,0
flete camioneta,5
apio ensalada preparada,0
jugo livean manzana 200 cc cu,0
café sobre,0
lansoprazol 30 mg tabletas ansioliticos,4
set paños 3 und,3
medicamentos roacnetam 20 mg,4
pasaje línea colectivo ida,5
vino gato blanco,1
cloro color ropa,3
cazuela de vacuno envasado,0
bidon de cloro,3
set 12 bowls desechables,3
panes marraquetas frescos,0
plumero cola,3
jugo de coco,0
ppas grescas granel,0
paquete sureña vienesa,0
taxi traslado particular,5
flan de manjar,0
tarifa escolar urbanos,5
implemento para matar zancudos forma de raqueta,3
mueble cómoda,3
vacuna varicela varilrix,4
traje veston y pantalón de hombre,2
media luna de hoja,0
café nescafe tradicional tarro,0
consulta médica pedíatra,4
polera disney niña,2
pulpa cerdo granel,0
pqte de galletas,0
pasaje melipilla renca,5
pack servilletas elite,3
torta selva negra,0
complejo vit b,4
insecticida mata mosquitos moscos y zancudos lata,3
clínica miraflores operación muestra biopsia y raspado,4
examenes de sangre varios,4
resonancia al cuello,4
pasajes transantiago,5
hidrolageno naranja deportista,4
remedio naproxeno dolor de cabeza,4
boxer para jeisson,2
galleta minikuky,0
jeans pantalón corto mujer,2
renovación carnet conducir,5
camisa de dormir de mujer,2
rollos toalla papel ultra,3
fijador de calcio,4
bandeja de pulpa de pierna fresco,0
adidock 12 medias de fútbol,2
2 lt ekono bebida gaseosa,0
discos de corte son para cortar metal,3
ken silver,1
cajetilla cigarros pall mall rojo,1
petróleo llenado de estanque,5
cigarros belmont 20 unidades,1
viaje taxi consulta hogar,5
juego sabanas polar 15 plazas,3
bus santiago peñaflor,5
tapsin calientes plus día,4
chaqueta sport de hombre,2
zapallo italiano ferscos,0
barras de cereal trix,0
sesiones depilación laser rostro completo,4
fajitas tortilla 1 bolsa,0
botella alcohol desnaturalizado 95,4
mamografiaeco mamaria,4
aer arañas,3
botella limpiador para el piso flotantes,3
tutos de pollo frescos,0
paroxetina medicamneto para el control de la ansiedad,4
juga andina,0
cerveza lager,1
pechuga entera de pollo fresca granel,0
chaleco de mujer lana,2
oftagen gotas,4
aceite ilegible,5
1 chaleco 1 poleron para mujer,2
cambio de foco delantero,5
programa pad parto,4
lavadora secadora,3
calcetines varón,2
leche sabor frutilla líquida,0
gastirol aerospestrol 20 comprimido,4
yogurt damasco,0
pastillas homeopaticas para relajarse,4
papas prefritas lider congeladas,0
bistec de pavo,0
juego de sabanas 2 12,3
longanizas fresca granel,0
medicamento lukanexasma,4
holter examen de medición de presión,4
bono examenes sangre,4
toalla papel abolengo 6 unidades,3
arvejas fresca a granel,0
carne vacuno huachalomo,0
cuidador del hogar en período de vaciones,3
sal lobos envasada,0
calza de mujer,2
sweater gato índex mujer,2
berlin pastelera con relleno dulce,0
cama 2 plazas c colchón y almohadas,3
tenia dama 3 pzas algodón fibra,2
recuerdos y souvenirs especifique piedras de adornos,3
leche semidescremada colun,0
jugo con polvo,0
gasto de trayecto santiago rancagua,5
machas frescas granel,0
analgésico geniol ao com 500 mg 20,4
jurel en lata san jose,0
4 noches hospitalizacion urgencia neumotórax espontánea isapre cubre 90,4
marquezas de 15 plaza,3
bolsa con manilla,3
city tour,5
nugget de pollo congelados envasados,0
ampolleta bola,3
cambio de aceites,5
unidad blistex ungüento labial,4
consulta médica cirujano cuello y cara,4
bebida gasificada,0
bolsas basura súper,3
consulta al oculista,4
colectivo rancagua,5
toalla de papel 3 unid,3
jamón pierna 250 grs,0
pasteles canolo manjar,0
medicamento nifedipin,4
zapatillas niño,2
telefonos celulares s recarga,6
botella cerveza bitburger 48 grados,1
pack ampolleta espiral 18 w,3
jgo cubiertos,3
pantalón de buzo hombre camisa de hombre,2
pasaje a melipilla ida y vuelta,5
bototos cat de mujer,2
consulta trumatologica,4
nevera,3
combios neumaticos batería automóvil,5
holanda monjitas c san antonio trayecto,5
celular galaxy s1 prepago,6
lámina vidrio para celular moto gy,6
recipiente plástico,3
compra de combustible petróleo,5
limpiador multiuso envasado,3
avena,0
displey 4 bisagras,3
locomoción al gimnasio club tarde ida y vuelta,5
zapatos outdoor,2
enmarcacion cuadros 3,3
concor medicamento para la hipertensión,4
pasaje colectivo nos buin,5
acelga granel,0
dobladitas pan,0
agua mineral cachantun sin gas bidon,0
control ginecológico mujer,4
lamparas halogenas para casa,3
medicamento enlapril para la presión,4
jugos manzana,0
anticonceptivos pastillas,4
ketorolaco dolor de huesos,4
pasajes para ir a la tirana,5
bebida láctea con probioticos 6 unidades,0
toalla de mano 500 grs,3
crema espesa sopro,0
recarga a mi celular,6
corte de zapallo camote fresco,0
pasaje minibus rural,5
lentes de sol opticos,4
botellas de pisco 700 ml,1
yoghurt sin lactosa vainilla,0
mr músculo baño,3
flan soprole vainilla,0
celular prepago 10 mb,6
viaje uber aeropuerto,5
vitamina c mil 100 mg,4
librero sala de estar,3
gasto en carnicería carne de vacuno pollo,0
paquete de 6 años amarillos de limpieza,3
fruta plátano,0
crema crema para piso,3
pantalón de mujer jeans,2
6 pack heineken,1
cecina alemana de cerdo,0
galletas mini x 3 4,0
pan de levadura fresca,0
bolsa pan de molde envasado gde,0
pasaje micro iqqhosp,5
helado individual,0
recuerdos y souvenirs especifique imanes poleras,2
levadura en polvo,0
abolengo toalla de papel,3
procesador de alimentos black and decker,3
consulta traumatologo ortopedista,4
pila energier aa x,3
cajetilla cigarros importados 20 und,1
tarro de café monterrey descafeinado,0
chaleco lana talla m mujer,2
chaqueta pantalón mujer,2
jarabe abrilar para el pecho,4
cortinas de tela,3
limpia piso poett 90 ml líquido,3
caja de carvedilol medicamento para la regulación presión arterial,4
paquete vianesa pf vacuno,0
ambiental glade 36 desodorante,3
viaje a uruguay pasaje,5
taxi arica tacna perú,5
artículo casimir,2
regalo martina obra de arte telar,3
de detergente en polvo para lavar ropa,3
plátano a granel fresco,0
consulta a la podologa,4
enalapril para la presión 20 ml,4
